"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","4학년","5학년","6학년","특수학급","순회학급","학급수계","학생수계","학급당학생수","유초등부-유-순회","유초등부-초-순회","유초등부-학급수계","유초등부-학생수계","유초등부-학급당학생수","중등부-2학년","중등부-3학년","중등부-순회","중등부-학급수계","중등부-학생수계","중등부-학급당학생수","고등부-1학년","고등부-2학년","고등부-3학년","고등부-순회","고등부-학급수계","고등부-학생수계","고등부-학급당학생수","전공과","학급수 총계","학생수 총계","학급당학생수","고등부-2학년","고등부-3학년","고등부-특수","고등부-순회","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171011400","01","S010000910","서울남천초등학교","02","공립","N","","3","3","4","4","4","4","2","0","24(2)","406(4)","16.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010100","01","S010000911","서울대명초등학교","02","공립","N","","6","6","6","6","7","5","1","0","37(1)","790(2)","21.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171011400","01","S010000913","서울마천초등학교","02","공립","N","","5","6","7","8","8","7","1","0","42(1)","883(8)","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010200","01","S010000914","서울명덕초등학교","02","공립","N","","10","9","9","9","8","8","1","0","54(1)","1848(7)","34.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010100","01","S010000915","서울명원초등학교","02","공립","N","","4","4","5","5","6","6","1","0","31(1)","806(7)","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010700","01","S010000916","서울명일초등학교","02","공립","N","","8","8","9","8","8","7","2","0","50(2)","1032(15)","20.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010200","01","S010000917","서울묘곡초등학교","02","공립","N","","10","10","11","11","11","10","1","0","64(1)","1598(4)","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171010800","01","S010000918","서울문덕초등학교","02","공립","N","","5","5","4","5","5","4","1","0","29(1)","596(9)","20.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171010800","01","S010000919","서울문정초등학교","02","공립","N","","5","5","7","6","6","6","2","0","37(2)","742(7)","20.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171011100","01","S010000920","서울방산초등학교","02","공립","N","","5","5","4","6","4","5","0","0","29(0)","635(0)","21.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
